customerID,Recency,Frequency,Monetary,RFMGroup,segment,activity,actionableTip
12747.0,2,96,4894.70663265306,523.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12748.0,0,4019,37587.244897959186,555.0,Champions,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
12749.0,3,199,5217.95918367347,533.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12820.0,3,59,1201.9642857142858,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12821.0,214,6,118.26530612244899,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12822.0,70,45,1172.1683673469388,222.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12823.0,74,5,2244.2602040816328,212.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12824.0,59,25,506.53061224489795,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12826.0,2,91,1881.020408163265,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12827.0,5,25,548.6607142857142,511.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12828.0,2,56,1299.375,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12829.0,336,11,373.7244897959183,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12830.0,37,38,8692.142857142859,314.0,Need Attention,"Above average recency, frequency and monetary values. May not have bought very recently though","Make limited time offers, Recommend based on past purchases. Reactivate them."
12831.0,262,9,274.2984693877551,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12832.0,32,27,488.5586734693877,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12833.0,145,24,532.3724489795918,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12834.0,282,18,398.4438775510204,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12836.0,59,174,3329.5408163265306,333.0,Need Attention,"Above average recency, frequency and monetary values. May not have bought very recently though","Make limited time offers, Recommend based on past purchases. Reactivate them."
12837.0,173,12,171.04591836734693,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12838.0,33,61,358.62244897959187,321.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12839.0,2,292,6618.380102040816,533.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12840.0,143,113,3478.022959183673,223.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12841.0,4,361,4377.053571428572,543.0,Loyal,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
12842.0,70,34,1427.283163265306,212.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12843.0,65,101,2159.579081632653,322.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12844.0,29,52,415.765306122449,421.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12845.0,267,27,451.6454081632653,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12847.0,22,84,1076.0714285714284,422.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12849.0,31,48,1288.6352040816328,422.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12851.0,96,47,168.125,221.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12852.0,294,17,397.3852040816326,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12853.0,134,76,2428.6989795918366,223.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12854.0,78,109,1678.8903061224491,222.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12856.0,7,311,2768.8520408163267,543.0,Loyal,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
12857.0,210,46,1411.2244897959183,122.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12863.0,52,5,664.795918367347,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12864.0,138,3,187.65306122448982,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12867.0,26,533,5082.19387755102,443.0,Loyal,Spend good money with us often. Responsive to promotions.,Upsell higher value products. Ask for reviews. Engage them.
12868.0,185,95,1790.5102040816323,122.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12871.0,84,11,485.51020408163265,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12872.0,326,66,765.2678571428571,121.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12873.0,282,4,477.0408163265306,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12875.0,143,2,437.7933673469388,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12877.0,3,154,1958.8903061224487,532.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12878.0,236,47,1090.5484693877552,122.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12879.0,44,10,731.1479591836735,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12881.0,275,7,380.10204081632656,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12882.0,9,13,1866.1224489795918,512.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12883.0,24,42,897.2831632653061,422.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12884.0,88,7,394.19642857142856,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12885.0,63,70,1477.3852040816328,322.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12886.0,67,82,1758.1632653061224,322.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12888.0,214,5,451.68367346938777,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12890.0,24,79,480.51020408163265,421.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12891.0,185,3,422.1938775510204,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12893.0,30,31,225.1913265306122,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12895.0,42,21,453.8265306122448,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12897.0,204,4,276.1479591836735,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12901.0,8,113,21542.780612244896,525.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12902.0,264,10,176.8877551020408,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12904.0,18,71,632.7295918367347,421.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12906.0,11,63,3724.247448979592,523.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12908.0,176,2,956.6326530612246,112.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12909.0,39,89,2743.7117346938776,323.0,Need Attention,"Above average recency, frequency and monetary values. May not have bought very recently though","Make limited time offers, Recommend based on past purchases. Reactivate them."
12910.0,23,75,3922.244897959183,423.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12912.0,2,24,2120.2806122448983,512.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12913.0,4,46,2635.2168367346944,523.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12915.0,148,9,209.18367346938774,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12916.0,138,102,3743.686224489796,223.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12917.0,128,2,757.6530612244898,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12919.0,8,50,1703.048469387755,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12920.0,17,27,207.62755102040816,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12921.0,9,672,19995.331632653062,554.0,Champions,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
12922.0,161,28,517.0663265306122,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12923.0,64,28,220.43367346938777,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12924.0,88,29,1186.1607142857142,212.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12925.0,4,45,885.267857142857,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12928.0,35,84,2630.9948979591836,323.0,Need Attention,"Above average recency, frequency and monetary values. May not have bought very recently though","Make limited time offers, Recommend based on past purchases. Reactivate them."
12929.0,311,8,150.3188775510204,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12930.0,78,25,530.3571428571429,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12931.0,21,78,51287.65306122449,425.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12933.0,24,106,774.9107142857143,421.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12935.0,2,129,2755.9948979591836,533.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12936.0,17,62,1357.0153061224487,422.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12937.0,15,120,1918.7117346938776,432.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12938.0,25,9,145.58673469387753,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12939.0,64,47,14772.704081632653,324.0,Need Attention,"Above average recency, frequency and monetary values. May not have bought very recently though","Make limited time offers, Recommend based on past purchases. Reactivate them."
12940.0,54,96,1147.5637755102039,322.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12942.0,131,54,531.6964285714284,221.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12944.0,35,30,771.0586734693877,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
12945.0,288,23,590.4974489795917,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12947.0,143,78,1470.6632653061224,222.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12948.0,16,116,2633.8647959183672,423.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12949.0,30,214,5296.198979591836,433.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12950.0,2,23,2350.765306122449,512.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12951.0,8,63,1357.2321428571427,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12952.0,5,79,1770.1403061224491,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12953.0,9,17,420.7270408163265,511.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12955.0,1,178,6024.438775510203,533.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12956.0,306,19,137.84438775510205,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12957.0,9,238,5124.413265306122,533.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12962.0,7,16,339.7831632653061,511.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12963.0,8,79,1901.5688775510198,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12965.0,89,108,981.9005102040817,222.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12966.0,9,10,204.3112244897959,511.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12967.0,358,4,373.08673469387753,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12968.0,112,5,173.40561224489792,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12970.0,7,129,517.1811224489795,531.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12971.0,3,286,13649.961734693878,534.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
12974.0,197,8,184.69387755102042,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12976.0,211,22,942.0918367346939,112.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12977.0,156,9,50.05102040816326,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12980.0,157,20,9406.760204081635,214.0,At Risk,Spent big money and purchased often. But long time ago. Need to bring them back!,"Send personalized emails to reconnect offer renewals, provide helpful resources."
12981.0,29,20,474.77040816326536,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12982.0,242,28,498.1377551020408,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12984.0,18,4,124.36224489795917,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12985.0,0,74,1550.5357142857142,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12987.0,73,28,712.627551020408,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12988.0,292,83,645.1785714285716,121.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
12989.0,3,62,8675.650510204081,524.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
12990.0,31,13,522.3214285714286,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12991.0,23,31,642.5510204081634,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12993.0,23,27,529.030612244898,411.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12994.0,4,60,1226.6198979591836,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12995.0,85,3,269.5408163265306,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
12997.0,22,59,1564.9107142857142,422.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
12999.0,196,28,581.4795918367347,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
13000.0,106,31,682.2066326530613,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
13001.0,4,337,12482.104591836734,544.0,Champions,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
13002.0,318,7,154.27295918367344,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
13003.0,105,6,190.11479591836735,211.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
13004.0,11,402,7187.589285714286,544.0,Champions,"Bought recently, buy often and spend the most!",Reward them. Can be early adopters for new products. Will promote your brand.
13005.0,173,24,604.4642857142856,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
13006.0,56,4,104.04336734693878,311.0,About to Sleep,"Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount reconnect with them."
13008.0,323,14,292.69132653061223,111.0,Lost,"Lowest recency, frequency and monetary scores.","Revive interest with reach out campaign, ignore otherwise."
13012.0,9,71,1660.357142857143,522.0,New Customers,"Bought most recently, but not often.","Provide on-boarding support, give them early success, start building relationship."
13013.0,1,152,4186.989795918367,533.0,Potential Loyalist,"Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
13014.0,10,108,4408.584183673468,523.0,Promising,"Recent shoppers, but haven't spent much.",Create brand awareness offer free trials
13015.0,53,175,4259.7448979591845,333.0,Need Attention,"Above average recency, frequency and monetary values. May not have bought very recently though","Make limited time offers, Recommend based on past purchases. Reactivate them."
13016.0,73,47,1007.5127551020408,222.0,Hibernating,"Last purchase was long back, low spenders and low number of orders.",Offer other relevant products and special discounts. Recreate brand value.
